gloss,bbox,fps,frame_end,frame_start,instance_id,signer_id,source,split,url,variation_id,video_id
book,385,25,-1,1,0,118,aslbrick,train,http://aslbricks.org/New/ASL-Videos/book.mp4,0,69241
,190,25,-1,1,1,90,aslsignbank,train,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/BO/BOOK-418.mp4,0,65225
,262,25,-1,1,2,110,valencia-asl,train,https://www.youtube.com/watch?v=0UsjUE-TXns,0,68011
,123,25,60,1,3,113,lillybauer,train,https://www.youtube.com/watch?v=1QOYOZ3g-aY,0,68208
,95,25,-1,1,4,109,valencia-asl,train,https://www.youtube.com/watch?v=aGtIHKEdCds,0,68012
,110,25,2249,2150,5,121,northtexas,val,https://www.youtube.com/watch?v=hjS0dQDgbjo,0,70212
,153,25,3852,3732,6,121,northtexas,train,https://www.youtube.com/watch?v=WGfiiDgrq1I,0,70266
,16,25,-1,1,7,49,aslpro,train,http://www.aslpro.com/main/b/book_english_grammar.swf,0,7085
,16,25,-1,1,8,49,aslpro,train,http://www.aslpro.com/main/b/book_geography.swf,0,7086
,8,25,-1,1,9,18,aslpro,train,http://www.aslpro.com/main/b/book_geometry.swf,0,7087
,462,25,-1,1,10,31,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/SignSchool%20Book.mp4,0,7069
,29,25,-1,1,11,18,aslpro,train,http://www.aslpro.com/main/b/book_history.swf,0,7088
,22,25,-1,1,12,18,aslpro,train,http://www.aslpro.com/main/b/book_law.swf,0,7089
,34,25,-1,1,13,18,aslpro,train,http://www.aslpro.com/main/b/book_literature.swf,0,7090
,23,25,-1,1,14,18,aslpro,train,http://www.aslpro.com/main/b/book_math.swf,0,7091
,31,25,-1,1,15,49,aslpro,test,http://www.aslpro.com/main/b/book_medicine.swf,0,7092
,25,25,-1,1,16,18,aslpro,test,http://www.aslpro.com/main/b/book_music.swf,0,7093
,234,25,-1,1,17,36,startasl,train,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/book.mp4,0,7068
,22,25,-1,1,18,18,aslpro,val,http://www.aslpro.com/main/b/book_photography.swf,0,7094
,3,25,-1,1,19,18,aslpro,test,http://www.aslpro.com/main/b/book_science.swf,0,7095
,21,25,-1,1,20,18,aslpro,val,http://www.aslpro.com/main/b/book_spelling.swf,0,7096
,26,25,-1,1,21,49,aslpro,train,http://www.aslpro.com/main/b/book.swf,0,7097
,131,25,-1,1,22,59,asldeafined,train,https://media.asldeafined.com/vocabulary/1466684225.687.mp4,0,7070
,21,25,-1,1,23,18,aslpro,val,http://www.aslpro.com/main/b/book_trigonometry.swf,0,7098
,162,25,-1,1,24,12,aslsearch,val,http://www.aslsearch.com/signs/videos/book.mp4,0,7099
,70,25,-1,1,25,14,handspeak,train,https://www.handspeak.com/word/b/book2.mp4,0,7071
,75,25,-1,1,26,14,handspeak,test,https://www.handspeak.com/word/b/book.mp4,0,7072
,64,25,-1,1,27,14,handspeak,train,https://www.handspeak.com/word/b/books-pile.mp4,0,7073
,128,25,-1,1,28,109,asllex,train,https://youtu.be/3-GrhsVs830,0,67424
,82,25,-1,1,29,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/14/14326.mp4,0,7074
,386,25,-1,1,30,5,aslu,train,https://www.youtube.com/watch?v=Kwvw-K6GYW8,0,7075
,362,25,-1,1,31,5,aslu,train,https://www.youtube.com/watch?v=XjWSfh50kAU,0,7076
,25,25,-1,1,32,49,aslpro,train,http://www.aslpro.com/main/b/book_accounting.swf,0,7077
,28,25,-1,1,33,18,aslpro,train,http://www.aslpro.com/main/b/book_algebra.swf,0,7078
,15,25,-1,1,34,49,aslpro,train,http://www.aslpro.com/main/b/book_anatomy.swf,0,7079
,28,25,-1,1,35,18,aslpro,train,http://www.aslpro.com/main/b/book_art_history.swf,0,7080
,23,25,-1,1,36,18,aslpro,train,http://www.aslpro.com/main/b/book_art.swf,0,7081
,30,25,-1,1,37,18,aslpro,train,http://www.aslpro.com/main/b/book_business.swf,0,7082
,0,25,-1,1,38,18,aslpro,val,http://www.aslpro.com/main/b/book_chemistry.swf,0,7083
,29,25,-1,1,39,18,aslpro,train,http://www.aslpro.com/main/b/book_coloring.swf,0,7084
drink,551,25,-1,1,0,115,aslbrick,val,http://aslbricks.org/New/ASL-Videos/drink.mp4,0,69302
,153,25,-1,1,1,94,aslsignbank,train,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/DR/DRINK-119.mp4,0,65539
,142,25,5831,5710,2,121,northtexas,val,https://www.youtube.com/watch?v=F5Wef1_PtLk,0,70173
,112,25,71,1,3,113,lillybauer,val,https://www.youtube.com/watch?v=HZMTQJdBZ9g,0,68538
,110,25,-1,1,4,109,valencia-asl,val,https://www.youtube.com/watch?v=KRc_WYI1DgA,0,68042
,312,25,54,1,5,115,lillybauer,train,https://www.youtube.com/watch?v=Lk2Vws8homw,0,68660
,116,25,-1,1,6,109,valencia-asl,train,https://www.youtube.com/watch?v=Nc7rSopCpI8,0,68041
,300,25,-1,1,7,5,aslu,train,https://www.youtube.com/watch?v=537MWOtCl78,0,17725
,318,25,-1,1,8,5,aslu,train,https://www.youtube.com/watch?v=6gU3Ln98sWA,0,17726
,232,25,-1,1,9,65,nabboud,train,https://www.youtube.com/watch?v=Ddd2ZZNFhVI,0,17727
,337,25,-1,1,10,5,aslu,train,https://www.youtube.com/watch?v=g3rl9_LYqzI,0,17728
,196,25,-1,1,11,36,startasl,train,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/drink.mp4,0,17710
,350,25,-1,1,12,5,aslu,train,https://www.youtube.com/watch?v=i0opsQ2zB1Q,0,17729
,334,25,-1,1,13,5,aslu,test,https://www.youtube.com/watch?v=k6cNmM9WgUs,0,17730
,348,25,-1,1,14,5,aslu,train,https://www.youtube.com/watch?v=LqJM7wcUixQ,0,17731
,0,25,-1,1,15,44,aslpro,train,http://www.aslpro.com/main/d/drink.swf,0,17732
,186,25,-1,1,16,12,aslsearch,train,http://www.aslsearch.com/signs/videos/drink-alcohol.mp4,0,17733
,167,25,-1,1,17,94,aslsignbank,train,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/DR/DRINK-120.mp4,0,65540
,183,25,-1,1,18,12,aslsearch,val,http://www.aslsearch.com/signs/videos/drink.mp4,0,17734
,289,25,-1,1,19,52,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Drink%20(correct)-0UzEF7ru0sQ.mp4,0,17711
,673,25,-1,1,20,6,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Drink-L6hHRIQzWBo.mp4,0,17712
,28,25,-1,1,21,21,asldeafined,test,https://media.asldeafined.com/vocabulary/1467773819.9825.mp4,0,17713
,53,25,-1,1,22,20,handspeak,train,https://www.handspeak.com/word/d/drink2.mp4,0,17714
,57,25,-1,1,23,14,handspeak,train,https://www.handspeak.com/word/d/drink-alcohol.mp4,0,17715
,113,25,-1,1,24,20,handspeak,test,https://www.handspeak.com/word/d/drink-british.mp4,0,17716
,112,25,-1,1,25,14,handspeak,train,https://www.handspeak.com/word/d/drink.mp4,0,17717
,84,25,-1,1,26,20,handspeak,test,https://www.handspeak.com/word/d/drink-mug.mp4,0,17718
,41,25,-1,1,27,2,spreadthesign,train,https://media.spreadthesign.com/video/mp4/13/153289.mp4,0,17709
,98,25,-1,1,28,109,asllex,train,https://youtu.be/yawcLQIhQiE,0,67594
,124,25,-1,1,29,14,handspeak,train,https://www.handspeak.com/word/d/drink-plu.mp4,0,17719
,49,25,-1,1,30,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/14/14885.mp4,0,17720
,66,25,-1,1,31,10,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/23/23388.mp4,0,17721
,66,25,-1,1,32,10,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/23/23388.mp4,0,17722
,65,25,-1,1,33,10,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/23/23389.mp4,0,17723
,68,25,-1,1,34,11,signingsavvy,val,https://www.signingsavvy.com/signs/mp4/7/7796.mp4,0,17724
computer,0,25,5181,5122,0,9,asl5200,test,https://www.youtube.com/watch?v=PPmQd2zWdP0,0,12306
,111,25,-1,1,1,109,valencia-asl,train,https://www.youtube.com/watch?v=H-tAzh-nuV8,0,68028
,110,25,72,1,2,113,lillybauer,train,https://www.youtube.com/watch?v=YEFd7zsUNXU,0,69054
,56,25,-1,1,3,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/6/6326.mp4,1,12328
,317,25,-1,1,4,5,aslu,train,https://www.youtube.com/watch?v=97IwdVSOQho,1,12329
,299,25,-1,1,5,5,aslu,train,https://www.youtube.com/watch?v=cujhpwWi1yY,1,12330
,422,25,-1,1,6,38,startasl,val,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/computer-2.mp4,0,12312
,320,25,-1,1,7,5,aslu,train,https://www.youtube.com/watch?v=fY11M3Dxxx0,0,12331
,331,25,-1,1,8,65,nabboud,test,https://www.youtube.com/watch?v=lVo6MByRMHY,2,12332
,256,25,-1,1,9,5,aslu,val,https://www.youtube.com/watch?v=-_RSZM-lLXE,1,12333
,321,25,-1,1,11,5,aslu,val,https://www.youtube.com/watch?v=vK4GwJaDcWU,2,12335
,386,25,-1,1,12,65,nabboud,test,https://www.youtube.com/watch?v=-wmqgdmwySo,0,12336
,27,25,-1,1,13,56,spreadthesign,train,https://media.spreadthesign.com/video/mp4/13/51378.mp4,1,12311
,8,25,-1,1,14,72,aslpro,train,http://www.aslpro.com/main/c/computer.swf,1,12337
,221,25,-1,1,15,41,aslsearch,train,http://www.aslsearch.com/signs/videos/computer.mp4,1,12338
,409,25,-1,1,16,38,startasl,train,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/computer.mp4,1,12313
,257,25,-1,1,17,4,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/Computer%203-ZIm7kG5ie_M.mp4,0,12314
,436,25,-1,1,18,4,signschool,val,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/Computer%205-wOn7bu44o4s.mp4,1,12315
,412,25,-1,1,19,4,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Computer%201-_2YnCKHJy6U.mp4,2,12316
,473,25,-1,1,20,4,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Computer%202-_HHzYqXw-xU.mp4,2,12317
,365,25,-1,1,21,4,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Computer%204-1f6Cc5NXBgw.mp4,0,12318
,494,25,-1,1,22,45,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Republic%20of%20Congo-b6U1CIWIPIw.mp4,2,12319
,74,25,-1,1,23,59,asldeafined,test,https://media.asldeafined.com/vocabulary/1466901185.5915.mp4,1,12320
,96,25,-1,1,24,109,asllex,test,https://youtu.be/u1xoXux2NaE,1,67519
,115,25,-1,1,25,20,handspeak,train,https://www.handspeak.com/word/c/computer-arm2.mp4,0,12321
,107,25,-1,1,26,20,handspeak,train,https://www.handspeak.com/word/c/computer-arm.mp4,0,12322
,14,25,-1,1,27,20,handspeak,train,https://www.handspeak.com/word/c/computer-head.mp4,2,12323
,120,25,-1,1,28,14,handspeak,train,https://www.handspeak.com/word/c/computer-old2.mp4,1,12324
,69,25,-1,1,30,11,signingsavvy,val,https://www.signingsavvy.com/signs/mp4/6/6011.mp4,0,12326
,63,25,-1,1,31,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/6/6012.mp4,2,12327
before,0,25,1779,1733,0,9,asl5200,train,https://www.youtube.com/watch?v=pDqITge_TGs,0,5724
,185,25,4873,4778,1,121,northtexas,train,https://www.youtube.com/watch?v=bq-HmgjGzmw,0,70348
,121,25,-1,1,2,109,valencia-asl,train,https://www.youtube.com/watch?v=IYH-gBXXl8I,0,68007
,156,25,-1,1,3,5,aslu,train,https://www.youtube.com/watch?v=MvtVsr3P098,1,5744
,142,25,-1,1,5,5,aslu,val,https://www.youtube.com/watch?v=PeO4kaKvoVM,0,5746
